id;Jumlah_telur_gram;Media_Telur;Lama_menetas_hari;Makanan_gram;Jumlah_panen_gram;temp;humidity;temp_max;weather_main;month;season;temp_humidity_idx;temp_range;telur_per_temp;temp_squared;humidity_squared;temp_level;humidity_level;optimal_temp;optimal_humidity;optimal_condition;is_rainy;is_clear;is_kemarau;is_hujan;Media_Encoded;Weather_Encoded;Season_Encoded
1;296.0;Ampas atau Limbah Organik Basah;5;28961.0;6230.0;27.1;73.0;31.7;Rain;7;Kemarau;1.9783000000000002;4.599999999999998;10.92250922509225;734.4100000000001;5329.0;1;0;1;1;1;1;0;1;0;0;2;1
2;292.0;Dedak atau Bekatul;5;28469.0;5330.0;29.5;69.0;32.5;Rain;4;Kemarau;2.0355;3.0;9.898305084745763;870.25;4761.0;2;0;1;0;0;1;0;1;0;2;2;1
3;238.0;Dedak atau Bekatul;5;30296.0;6060.0;27.4;80.0;30.1;Thunderstorm;11;Pancaroba;2.192;2.700000000000003;8.686131386861314;750.7599999999999;6400.0;1;1;1;1;1;1;0;0;0;2;3;2
4;266.0;Kotoran Ternak (Fermentasi);8;29507.0;5270.0;28.8;69.0;32.9;Clear;8;Kemarau;1.9872;4.099999999999998;9.23611111111111;829.44;4761.0;1;0;1;0;0;0;1;1;0;3;0;1
5;243.0;Campuran Media (Kombinasi Kering & Basah);7;28990.0;5420.0;27.1;74.0;31.5;Rain;5;Kemarau;2.0054000000000003;4.399999999999999;8.966789667896679;734.4100000000001;5476.0;1;0;1;1;1;1;0;1;0;1;2;1
6;83.0;Kotoran Ternak (Fermentasi);8;23793.0;2210.0;28.2;66.0;31.2;Clouds;7;Kemarau;1.8612;3.0;2.9432624113475176;795.24;4356.0;1;0;1;0;0;0;0;1;0;3;1;1
7;165.0;Campuran Media (Kombinasi Kering & Basah);7;22115.0;3370.0;29.3;75.0;31.6;Rain;10;Pancaroba;2.1975;2.3000000000000007;5.631399317406143;858.49;5625.0;2;0;1;1;1;1;0;0;0;1;2;2
8;116.0;Ampas atau Limbah Organik Basah;5;23801.0;3120.0;28.0;89.0;32.8;Rain;3;Hujan;2.492;4.799999999999997;4.142857142857143;784.0;7921.0;1;2;1;0;0;1;0;0;1;0;2;0
9;154.0;Kotoran Ternak (Fermentasi);8;25586.0;3360.0;30.6;68.0;33.8;Clear;7;Kemarau;2.0808;3.1999999999999957;5.032679738562091;936.3600000000001;4624.0;2;0;0;0;0;0;1;1;0;3;0;1
10;153.0;Ampas atau Limbah Organik Basah;5;23717.0;3530.0;30.6;76.0;34.2;Rain;11;Pancaroba;2.3256;3.6000000000000014;5.0;936.3600000000001;5776.0;2;1;0;1;0;1;0;0;0;0;2;2
11;127.0;Kotoran Ternak (Fermentasi);8;23983.0;2420.0;28.9;80.0;33.4;Thunderstorm;11;Pancaroba;2.312;4.5;4.3944636678200695;835.2099999999999;6400.0;1;1;1;1;1;1;0;0;0;3;3;2
12;118.0;Kotoran Ternak (Fermentasi);8;24148.0;3020.0;32.5;66.0;36.5;Rain;8;Kemarau;2.145;4.0;3.6307692307692307;1056.25;4356.0;2;0;0;0;0;1;0;1;0;3;2;1
13;213.0;Campuran Media (Kombinasi Kering & Basah);7;28351.0;5200.0;32.1;78.0;36.3;Clear;5;Kemarau;2.5038;4.199999999999996;6.635514018691588;1030.41;6084.0;2;1;0;1;0;0;1;1;0;1;0;1
14;206.0;Dedak atau Bekatul;4;27224.0;4690.0;29.7;65.0;32.3;Clear;4;Kemarau;1.9305;2.599999999999998;6.936026936026936;882.0899999999999;4225.0;2;0;1;0;0;0;1;1;0;2;0;1
15;84.0;Dedak atau Bekatul;4;19756.0;1750.0;27.6;74.0;31.2;Clear;8;Kemarau;2.0424;3.599999999999998;3.043478260869565;761.7600000000001;5476.0;1;0;1;1;1;0;1;1;0;2;0;1
16;117.0;Campuran Media (Kombinasi Kering & Basah);6;24056.0;2690.0;29.2;72.0;33.3;Clear;8;Kemarau;2.1024000000000003;4.099999999999998;4.006849315068493;852.64;5184.0;2;0;1;1;1;0;1;1;0;1;0;1
17;128.0;Kotoran Ternak (Fermentasi);7;21070.0;2840.0;27.3;90.0;30.0;Rain;3;Hujan;2.457;2.6999999999999993;4.688644688644689;745.2900000000001;8100.0;1;2;1;0;0;1;0;0;1;3;2;0
18;127.0;Kotoran Ternak (Fermentasi);8;20580.0;3090.0;31.0;70.0;33.5;Clear;6;Kemarau;2.17;2.5;4.096774193548387;961.0;4900.0;2;0;0;1;0;0;1;1;0;3;0;1
19;105.0;Dedak atau Bekatul;4;21666.0;2400.0;30.5;67.0;35.4;Clouds;5;Kemarau;2.0435;4.899999999999999;3.442622950819672;930.25;4489.0;2;0;0;0;0;0;0;1;0;2;1;1
20;90.0;Kotoran Ternak (Fermentasi);8;20731.0;2200.0;25.4;95.0;28.9;Rain;2;Hujan;2.413;3.5;3.5433070866141736;645.16;9025.0;0;2;0;0;0;1;0;0;1;3;2;0
21;225.0;Campuran Media (Kombinasi Kering & Basah);6;24475.0;3780.0;30.4;78.0;33.2;Rain;8;Kemarau;2.3712;2.8000000000000043;7.401315789473685;924.16;6084.0;2;1;0;1;0;1;0;1;0;1;2;1
22;215.0;Dedak atau Bekatul;4;29052.0;4520.0;25.9;93.0;30.9;Rain;12;Hujan;2.4086999999999996;5.0;8.301158301158301;670.81;8649.0;0;2;0;0;0;1;0;0;1;2;2;0
23;225.0;Dedak atau Bekatul;4;29387.0;4470.0;32.8;69.0;37.7;Rain;6;Kemarau;2.2632;4.900000000000006;6.859756097560976;1075.84;4761.0;2;0;0;0;0;1;0;1;0;2;2;1
24;269.0;Kotoran Ternak (Fermentasi);7;28060.0;5650.0;28.2;81.0;31.9;Rain;2;Hujan;2.2842;3.6999999999999993;9.539007092198581;795.24;6561.0;1;1;1;0;0;1;0;0;1;3;2;0
25;236.0;Dedak atau Bekatul;5;29631.0;4650.0;27.6;85.0;32.2;Thunderstorm;12;Hujan;2.346;4.600000000000001;8.550724637681158;761.7600000000001;7225.0;1;1;1;0;0;1;0;0;1;2;3;0
26;271.0;Ampas atau Limbah Organik Basah;5;30710.0;5340.0;28.4;73.0;31.0;Clouds;5;Kemarau;2.0732;2.6000000000000014;9.542253521126762;806.56;5329.0;1;0;1;1;1;0;0;1;0;0;1;1
27;243.0;Ampas atau Limbah Organik Basah;5;29374.0;4830.0;25.3;85.0;28.1;Rain;1;Hujan;2.1505;2.8000000000000007;9.604743083003953;640.09;7225.0;0;1;0;0;0;1;0;0;1;0;2;0
28;225.0;Ampas atau Limbah Organik Basah;6;25357.0;4160.0;24.2;92.0;28.3;Thunderstorm;12;Hujan;2.2264;4.100000000000001;9.297520661157025;585.64;8464.0;0;2;0;0;0;1;0;0;1;0;3;0
29;215.0;Ampas atau Limbah Organik Basah;6;23600.0;4530.0;29.3;79.0;33.8;Clouds;10;Pancaroba;2.3147;4.4999999999999964;7.337883959044368;858.49;6241.0;2;1;1;1;1;0;0;0;0;0;1;2
30;199.0;Kotoran Ternak (Fermentasi);8;26360.0;4390.0;27.7;79.0;32.3;Clear;6;Kemarau;2.1883;4.599999999999998;7.184115523465704;767.29;6241.0;1;1;1;1;1;0;1;1;0;3;0;1
31;101.0;Campuran Media (Kombinasi Kering & Basah);7;24598.0;2130.0;26.2;87.0;29.4;Clouds;12;Hujan;2.2794;3.1999999999999993;3.854961832061069;686.4399999999999;7569.0;1;2;0;0;0;0;0;0;1;1;1;0
32;273.0;Kotoran Ternak (Fermentasi);8;30934.0;5160.0;28.2;78.0;32.9;Clear;9;Kemarau;2.1995999999999998;4.699999999999999;9.680851063829788;795.24;6084.0;1;1;1;1;1;0;1;1;0;3;0;1
33;157.0;Dedak atau Bekatul;5;25176.0;3860.0;28.5;83.0;33.1;Thunderstorm;1;Hujan;2.3655;4.600000000000001;5.508771929824562;812.25;6889.0;1;1;1;0;0;1;0;0;1;2;3;0
34;150.0;Ampas atau Limbah Organik Basah;6;23101.0;3260.0;27.9;80.0;32.7;Clouds;11;Pancaroba;2.232;4.800000000000004;5.376344086021506;778.41;6400.0;1;1;1;1;1;0;0;0;0;0;1;2
