id;Jumlah_telur_gram;Media_Telur;Lama_menetas_hari;Makanan_gram;Jumlah_panen_gram
1;296;Ampas atau Limbah Organik Basah;5;28961;6230
2;292;Dedak atau Bekatul;5;28469;5330
3;238;Dedak atau Bekatul;5;30296;6060
4;266;Kotoran Ternak (Fermentasi);8;29507;5270
5;243;Campuran Media (Kombinasi Kering & Basah);7;28990;5420
6;83;Kotoran Ternak (Fermentasi);8;23793;2210
7;165;Campuran Media (Kombinasi Kering & Basah);7;22115;3370
8;116;Ampas atau Limbah Organik Basah;5;23801;3120
9;154;Kotoran Ternak (Fermentasi);8;25586;3360
10;153;Ampas atau Limbah Organik Basah;5;23717;3530
11;127;Kotoran Ternak (Fermentasi);8;23983;2420
12;118;Kotoran Ternak (Fermentasi);8;24148;3020
13;213;Campuran Media (Kombinasi Kering & Basah);7;28351;5200
14;206;Dedak atau Bekatul;4;27224;4690
15;84;Dedak atau Bekatul;4;19756;1750
16;117;Campuran Media (Kombinasi Kering & Basah);6;24056;2690
17;128;Kotoran Ternak (Fermentasi);7;21070;2840
18;127;Kotoran Ternak (Fermentasi);8;20580;3090
19;105;Dedak atau Bekatul;4;21666;2400
20;90;Kotoran Ternak (Fermentasi);8;20731;2200
21;225;Campuran Media (Kombinasi Kering & Basah);6;24475;3780
22;215;Dedak atau Bekatul;4;29052;4520
23;225;Dedak atau Bekatul;4;29387;4470
24;269;Kotoran Ternak (Fermentasi);7;28060;5650
25;236;Dedak atau Bekatul;5;29631;4650
26;271;Ampas atau Limbah Organik Basah;5;30710;5340
27;243;Ampas atau Limbah Organik Basah;5;29374;4830
28;225;Ampas atau Limbah Organik Basah;6;25357;4160
29;215;Ampas atau Limbah Organik Basah;6;23600;4530
30;199;Kotoran Ternak (Fermentasi);8;26360;4390
31;101;Campuran Media (Kombinasi Kering & Basah);7;24598;2130
32;273;Kotoran Ternak (Fermentasi);8;30934;5160
33;157;Dedak atau Bekatul;5;25176;3860
34;150;Ampas atau Limbah Organik Basah;6;23101;3260
35;168;Kotoran Ternak (Fermentasi);8;21872;3250
36;160;Dedak atau Bekatul;5;21744;4380
37;206;Ampas atau Limbah Organik Basah;5;27646;4230
38;115;Campuran Media (Kombinasi Kering & Basah);6;22608;3030
39;90;Dedak atau Bekatul;4;20971;1910
40;109;Ampas atau Limbah Organik Basah;6;21882;2140
41;183;Dedak atau Bekatul;4;26914;5330
42;287;Dedak atau Bekatul;3;30557;5760
43;119;Campuran Media (Kombinasi Kering & Basah);7;24993;2310
44;136;Kotoran Ternak (Fermentasi);7;24998;3280
45;229;Campuran Media (Kombinasi Kering & Basah);6;26297;4110
46;109;Kotoran Ternak (Fermentasi);8;19586;3070
47;110;Ampas atau Limbah Organik Basah;5;19744;3150
48;106;Campuran Media (Kombinasi Kering & Basah);6;20479;2200
49;224;Ampas atau Limbah Organik Basah;5;28229;5180
50;207;Ampas atau Limbah Organik Basah;6;27726;4610
51;271;Dedak atau Bekatul;4;27055;5300
52;177;Dedak atau Bekatul;5;22623;4940
53;96;Campuran Media (Kombinasi Kering & Basah);6;22514;2020
54;247;Ampas atau Limbah Organik Basah;6;29220;6140
55;286;Kotoran Ternak (Fermentasi);8;28128;6280
56;203;Ampas atau Limbah Organik Basah;5;23287;3270
57;209;Dedak atau Bekatul;4;25506;4510
58;287;Ampas atau Limbah Organik Basah;4;27523;5930
59;89;Ampas atau Limbah Organik Basah;6;23491;2130
60;170;Ampas atau Limbah Organik Basah;5;25559;3220
61;88;Campuran Media (Kombinasi Kering & Basah);7;23018;2340
62;279;Ampas atau Limbah Organik Basah;4;31901;6410
63;111;Dedak atau Bekatul;5;22615;3150
64;254;Kotoran Ternak (Fermentasi);7;26709;4920
65;128;Ampas atau Limbah Organik Basah;5;20485;3000
66;86;Campuran Media (Kombinasi Kering & Basah);6;23579;2220
67;158;Kotoran Ternak (Fermentasi);7;24777;4250
68;105;Ampas atau Limbah Organik Basah;6;19451;2720
69;207;Dedak atau Bekatul;4;23856;4210
70;125;Kotoran Ternak (Fermentasi);8;22996;2420
71;132;Kotoran Ternak (Fermentasi);8;25928;2860
72;127;Ampas atau Limbah Organik Basah;5;22195;2600
73;201;Dedak atau Bekatul;4;27571;5100
74;106;Dedak atau Bekatul;4;20265;2660
75;273;Campuran Media (Kombinasi Kering & Basah);6;26298;5410
76;259;Kotoran Ternak (Fermentasi);6;28774;4650
77;243;Dedak atau Bekatul;4;27744;5490
78;82;Ampas atau Limbah Organik Basah;7;21895;1760
79;127;Kotoran Ternak (Fermentasi);7;25717;2930
80;127;Ampas atau Limbah Organik Basah;5;23794;2800
81;241;Kotoran Ternak (Fermentasi);7;24655;4770
82;135;Dedak atau Bekatul;4;22867;3420
83;200;Kotoran Ternak (Fermentasi);8;24903;4870
84;85;Kotoran Ternak (Fermentasi);7;18402;1910
85;181;Ampas atau Limbah Organik Basah;5;24561;4580
86;101;Kotoran Ternak (Fermentasi);7;23411;2180
87;275;Campuran Media (Kombinasi Kering & Basah);6;28316;6020
88;216;Kotoran Ternak (Fermentasi);7;26944;5350
89;193;Dedak atau Bekatul;4;23730;4550
90;115;Dedak atau Bekatul;4;23000;2500
91;206;Kotoran Ternak (Fermentasi);7;27299;3810
92;200;Ampas atau Limbah Organik Basah;6;27315;5100
93;269;Ampas atau Limbah Organik Basah;4;30846;5540
94;154;Campuran Media (Kombinasi Kering & Basah);6;22726;3100
95;123;Dedak atau Bekatul;5;23485;2420
96;160;Campuran Media (Kombinasi Kering & Basah);6;24260;4470
97;179;Campuran Media (Kombinasi Kering & Basah);7;23833;3610
98;139;Kotoran Ternak (Fermentasi);8;25787;3390
99;102;Dedak atau Bekatul;5;22450;2420
100;246;Ampas atau Limbah Organik Basah;5;30608;5110
